,add,latitude,longitude,nearest_sch_index,distance_to_nearest_sch,nearest_sch_lat,nearest_sch_lon,nearest_sch_name,nearest_mrt_index,distance_to_nearest_mrt,nearest_mrt_lat,nearest_mrt_lon,nearest_mrt_name,walk_time_to_school,walk_distance_to_school,walk_time_to_mrt,walk_distance_to_mrt,line
693,252 ANG MO KIO AVE 4,1.37914986228487,103.84093819913,3,974.750517710884,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,39,531.5963415991839,1.3817560461130038,103.84494728975424,YIO CHU KANG MRT STATION,1065.0,1479.0,527.0,731.0,NS
694,320 ANG MO KIO AVE 1,1.36559244608528,103.848386744168,2,1270.11137681819,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,451.5182636974472,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1435.0,1992.0,513.0,712.0,NS
695,247 ANG MO KIO AVE 3,1.36705284380639,103.846987446489,2,1390.9791319484086,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,415.09900944959605,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1578.0,2191.0,586.0,814.0,NS
696,219 ANG MO KIO AVE 1,1.36598198004505,103.840654039612,0,1039.4482306471994,1.3605834338904,103.833020333986,AI TONG SCHOOL,168,801.2843081703651,1.3720866386742012,103.83682393201484,MAYFLOWER MRT STATION,1699.0,2359.0,726.0,1009.0,TE
697,220 ANG MO KIO AVE 1,1.36558833593063,103.840518883254,0,1002.269566931413,1.3605834338904,103.833020333986,AI TONG SCHOOL,168,831.1611553235581,1.3720866386742012,103.83682393201484,MAYFLOWER MRT STATION,1611.0,2237.0,768.0,1066.0,TE
698,308 ANG MO KIO AVE 1,1.36569665029696,103.844347269095,2,1221.613612525323,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,741.8445335096682,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1192.0,1654.0,694.0,964.0,NS
699,232 ANG MO KIO AVE 3,1.36834606813391,103.837196046409,3,657.6519329384415,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,168,417.98434585610966,1.3720866386742012,103.83682393201484,MAYFLOWER MRT STATION,765.0,1063.0,349.0,484.0,TE
700,235 ANG MO KIO AVE 3,1.36682360872342,103.83649123351,3,780.5188625009134,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,169,555.8815181746796,1.3633080980958083,103.8329359578363,BRIGHT HILL MRT STATION,925.0,1284.0,1391.0,1931.0,TE
701,202 ANG MO KIO AVE 3,1.36844644010937,103.844516260527,3,1270.6131237682628,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,16,610.4167064292508,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1285.0,1784.0,513.0,712.0,NS
702,211 ANG MO KIO AVE 3,1.369196965617,103.841666636086,3,951.63750146915,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,168,626.9320922530188,1.3720866386742012,103.83682393201484,MAYFLOWER MRT STATION,1011.0,1404.0,598.0,831.0,TE
703,216 ANG MO KIO AVE 1,1.36619678831054,103.841505011903,0,1131.0155867442058,1.3605834338904,103.833020333986,AI TONG SCHOOL,168,836.4810550184883,1.3720866386742012,103.83682393201484,MAYFLOWER MRT STATION,1680.0,2333.0,759.0,1054.0,TE
704,302 HOUGANG AVE 5,1.36851824459992,103.894583868849,5,183.2526088854196,1.36693830877349,103.894114899795,HOLY INNOCENTS' PRIMARY SCHOOL,149,393.8767500044004,1.3712922916785375,103.89238051891172,HOUGANG MRT STATION,353.0,491.0,344.0,477.0,NE
705,230 ANG MO KIO AVE 3,1.36885445228086,103.837896397823,3,654.3668997681501,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,168,378.6600147094575,1.3720866386742012,103.83682393201484,MAYFLOWER MRT STATION,749.0,1041.0,296.0,412.0,TE
706,329 ANG MO KIO AVE 3,1.36659908629034,103.846874419073,2,1339.132121364961,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,457.1483985390557,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1539.0,2136.0,472.0,655.0,NS
707,313 ANG MO KIO AVE 3,1.36664972640598,103.850133665442,2,1449.319932356218,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,300.78525385238214,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1595.0,2214.0,299.0,415.0,NS
708,441 ANG MO KIO AVE 10,1.36605027829032,103.854168309853,2,1629.0283601679555,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,596.7144868492086,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1679.0,2331.0,641.0,890.0,NS
709,419 ANG MO KIO AVE 10,1.36534669720177,103.85415182597,2,1568.118032937432,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,646.3980430275276,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1517.0,2106.0,564.0,784.0,NS
710,418 ANG MO KIO AVE 10,1.3649460137791,103.854043379775,2,1526.7604297212406,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,669.5468255680865,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1494.0,2075.0,593.0,823.0,NS
711,417 ANG MO KIO AVE 10,1.36495953274783,103.855197097728,2,1616.2611648486427,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,761.8885318482509,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1600.0,2222.0,667.0,926.0,NS
712,405 ANG MO KIO AVE 10,1.36157912717139,103.853805386957,2,1251.712335471618,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,965.102021098614,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1169.0,1623.0,752.0,1043.0,NS
713,404 ANG MO KIO AVE 10,1.36167767060852,103.854726492538,2,1340.6721693980544,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,1005.6095247826038,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1275.0,1770.0,858.0,1191.0,NS
714,403 ANG MO KIO AVE 10,1.36126901451361,103.854642365822,2,1307.2073596665598,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,1039.6835680746815,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1244.0,1727.0,827.0,1148.0,NS
715,126 ANG MO KIO AVE 3,1.37164990020956,103.843644176374,3,1063.5048295882873,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,16,744.4959316457251,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1114.0,1547.0,718.0,998.0,NS
716,128 ANG MO KIO AVE 3,1.37083202800001,103.843546990613,3,1074.1623311357548,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,16,728.8327362785585,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1084.0,1505.0,692.0,961.0,NS
717,130 ANG MO KIO AVE 3,1.37039791675237,103.841878840032,3,914.208957668266,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,168,592.463891081395,1.3720866386742012,103.83682393201484,MAYFLOWER MRT STATION,953.0,1322.0,621.0,862.0,TE
718,129 ANG MO KIO AVE 3,1.36989498895756,103.842059049722,3,954.7573874185008,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,168,630.9182591987221,1.3720866386742012,103.83682393201484,MAYFLOWER MRT STATION,929.0,1290.0,597.0,829.0,TE
719,121 ANG MO KIO AVE 3,1.36970563478325,103.843515981311,3,1111.7877675880598,1.37347687878916,103.834253269436,CHIJ ST. NICHOLAS GIRLS' SCHOOL,16,714.4473432095905,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1048.0,1454.0,551.0,765.0,NS
720,346 ANG MO KIO AVE 3,1.36709586875167,103.84966230288,2,1475.1442187337416,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,252.1500733118948,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1636.0,2271.0,306.0,425.0,NS
